Text,University name,Address,Latitude,Longitude,Found Address,Match Quality,Source
Prague University of Business and Economices (VSE), Prague University of Business and Economices (VSE),"nám. Winstona Churchilla 1938/4, 120 00 Praha 3-Žižkov, Tsjechië",50.08323784446718,14.440471468818288,"nám. Winstona Churchilla 1938/4, 120 00 Praha 3-Žižkov, Tsjechië",Match,Google
VSB Technical University of Ostrava,VSB Technical University of Ostrava,"Sokolská tř. 2416/33, 702 00 Moravská Ostrava a Přívoz, Tsjechië",49.83967635512328,18.291416824629756,"Sokolská tř. 2416/33, 702 00 Moravská Ostrava a Přívoz, Tsjechië",Match,Google
Metropolia University of Applied Sciences,Metropolia University of Applied Sciences,"Leiritie 1, 01600 Vantaa, Finland",60.258847805741176,24.845319135719297,"Leiritie 1, 01600 Vantaa, Finland",Match,Google
Symbios University,Symbios University,"Senapati Bapat Rd, Shivajinagar, Pune, Maharashtra 411004, India",18.52237280161958,73.8294247370821,"Senapati Bapat Rd, Shivajinagar, Pune, Maharashtra 411004, India",Match,Google
Binus University,Binus University,"Anggrek Campus, Jl. Kebon Jeruk Raya No. 27, Jakarta Barat, 11530, Indonesia",-6.2015025086232685,106.78226542527868,"Anggrek Campus, Jl. Kebon Jeruk Raya No. 27, Jakarta Barat, 11530, Indonesia",Match,Google
TU Dublin,TU Dublin,"Aungier St, Dublin 2, D02 HW71, Ierland",53.33861357838532, -6.266550646626677,"Aungier St, Dublin 2, D02 HW71, Ierland",Match,Google
Reichman University,Reichman University,"8, Ha’universita Street, P.O. Box 167, Herzliya, 4610101, Israel",32.17635122094449,34.83771577407446,"8, Ha’universita Street, P.O. Box 167, Herzliya, 4610101, Israel",Match,Google
Nanzan University,Nanzan University,"18 Yamazato-cho, Showa-ku, Nagoya 466-8673 JAPAN",35.14903522884631,136.9628190988038,"18 Yamazato-cho, Showa-ku, Nagoya 466-8673 JAPAN",Match,Google
Solbridge International School of Business,Solbridge International School of Business,"128 Uam-ro, Samseong-dong, Dong-gu, Daejeon, Zuid-Korea",36.33900303899185,127.43217344532204,"128 Uam-ro, Samseong-dong, Dong-gu, Daejeon, Zuid-Korea",Match,Google
"International University of Rabat, Rabat Business School","International University of Rabat, Rabat Business School","Shore Rocade, Rocade S, Rabat 11103, Marokko",33.9840101879201,-6.7257811743531875,"Shore Rocade, Rocade S, Rabat 11103, Marokko",Match,Google
Bucharest University of Economic Studies,Bucharest University of Economic Studies,"Piața Romană 6, București 010374, Roemenië",44.44768242935919,26.097857139749983,"Piața Romană 6, București 010374, Roemenië",Match,Google
ESIC Valencia,ESIC Valencia,"Av. de Blasco Ibáñez, 55, Algirós, 46021 València, Valencia, Spanje",39.47575649146872,-0.35132798928768194,"Av. de Blasco Ibáñez, 55, Algirós, 46021 València, Valencia, Spanje",Match,Google
"Universidad Loyola, Campus Sevilla","Universidad Loyola, Campus Sevilla","Av. de las Universidades, 2, 41704 Dos Hermanas, Sevilla, Spanje",37.30682831564751,-5.942352916355599,"Av. de las Universidades, 2, 41704 Dos Hermanas, Sevilla, Spanje",Match,Google
Thammasat University,Thammasat University,"2 Phra Chan Alley, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",14.9096721283807,100.33215566841452,"2 Phra Chan Alley, Phra Borom Maha Ratchawang, Phra Nakhon, Bangkok 10200, Thailand",Match,Google
Coventry University London Campus,Coventry University London Campus,"109, 117 Middlesex St, London E1 7JF, Verenigd Koninkrijk",51.5172296300354,-0.07777213321725446,"109, 117 Middlesex St, London E1 7JF, Verenigd Koninkrijk",Match,Google
Florida International University, Florida International University,"11200 SW 8th St, Miami, FL 33199, Verenigde Staten",25.7565267247943,-80.37444575876174,"11200 SW 8th St, Miami, FL 33199, Verenigde Staten",Match,Google
